subclass,1,2,3
A00N,1,0,0
A01A,0,2,0
A01B,428,689,1029
A01C,293,374,860
A01D,700,652,1357
A01F,120,166,427
A01G,616,861,1672
A01H,2644,4088,3780
A01J,131,262,278
A01K,1765,2154,3167
A01L,21,22,20
A01M,251,395,900
A01N,4490,7336,3824
A01P,36,250,58
A01Q,1,0,0
A01V,1,0,0
A02H,1,0,0
A03B,0,1,0
A04D,2,0,0
A04F,0,1,0
A06B,2,0,0
A06F,5,1,0
A06K,5,1,0
A06Q,1,0,0
A07H,1,0,0
A07K,5,0,0
A10C,1,0,0
A10G,1,0,0
A10K,0,1,0
A10N,1,2,0
A11B,0,1,0
A11C,1,0,0
A11F,1,0,0
A11N,1,1,0
A12D,1,0,0
A12Q,0,1,0
A16B,1,5,0
A16G,1,0,0
A16J,0,1,0
A16K,18,2,0
A21B,150,211,246
A21C,71,113,213
A21D,129,190,256
A21G,0,1,0
A22B,60,75,140
A22C,266,317,469
A22L,1,0,0
A23B,108,194,314
A23C,152,285,308
A23D,140,238,287
A23F,78,151,228
A23G,164,314,460
A23I,1,0,0
A23J,156,191,207
A23K,129,288,545
A23L,731,1471,2443
A23N,42,92,197
A23P,87,123,276
A24B,91,127,252
A24C,52,54,118
A24D,73,98,256
A24F,120,276,638
A26K,1,0,0
A26L,0,1,0
A27C,3,0,0
A31B,1,1,0
A31D,1,0,0
A31F,1,0,0
A31H,1,0,0
A31K,5,3,0
A31M,1,0,0
A35K,1,0,0
A36F,1,0,0
A37D,0,1,0
A41B,142,186,284
A41C,132,223,220
A41D,758,963,1488
A41F,79,108,244
A41G,42,76,129
A41H,39,46,92
A41J,2,0,0
A41K,0,1,0
A41L,0,1,0
A42B,216,360,757
A42C,24,28,52
A42D,0,1,0
A42F,2,0,0
A43B,740,926,1449
A43C,134,213,431
A43D,36,59,221
A43R,1,0,0
A44B,481,624,833
A44C,200,275,552
A44L,0,1,0
A45B,172,233,296
A45C,359,478,1440
A45D,412,800,1457
A45F,240,470,1162
A45G,0,1,0
A45K,1,0,0
A46B,437,758,1073
A46D,25,63,123
A46H,1,0,0
A47B,1693,2615,3364
A47C,1749,2098,2733
A47D,237,345,514
A47F,861,1161,1678
A47G,1107,1560,2460
A47H,239,327,316
A47J,845,1420,2643
A47K,501,779,1479
A47L,1024,1541,2489
A48C,1,0,0
A48K,0,1,0
A51B,1,0,0
A51C,0,1,0
A51K,3,0,0
A51M,0,1,0
A52B,1,0,0
A55F,1,0,0
A60F,0,2,0
A60K,2,1,0
A61A,11,2,0
A61B,13402,24532,37960
A61C,946,1538,2168
A61D,104,224,298
