subclass,1,2,3
A00N,1,0,0
A01A,0,2,0
A01B,532,898,1461
A01C,529,526,1245
A01D,788,854,2248
A01F,125,176,483
A01G,686,956,2072
A01H,4321,7543,5964
A01J,150,311,410
A01K,1938,2444,4347
A01L,25,30,33
A01M,279,473,1156
A01N,5416,9238,5151
A01P,40,314,78
A01Q,1,0,0
A01V,1,0,0
A02H,1,0,0
A03B,0,1,0
A04D,2,0,0
A04F,0,2,0
A06B,2,0,0
A06F,6,1,0
A06K,5,1,0
A06Q,1,0,0
A07H,1,0,0
A07K,5,0,0
A10C,1,0,0
A10G,1,0,0
A10K,0,1,0
A10N,1,2,0
A11B,0,1,0
A11C,1,0,0
A11F,1,0,0
A11N,1,1,0
A12D,1,0,0
A12Q,0,1,0
A16B,1,5,0
A16G,1,0,0
A16J,0,1,0
A16K,22,2,0
A21B,170,236,287
A21C,80,147,310
A21D,139,220,385
A21G,0,1,0
A22B,61,80,157
A22C,275,350,597
A22L,1,0,0
A23B,115,207,356
A23C,170,313,417
A23D,148,266,330
A23F,80,159,285
A23G,174,355,584
A23I,1,0,0
A23J,157,196,248
A23K,133,294,749
A23L,763,1570,3143
A23N,43,94,222
A23P,87,123,315
A24B,104,142,353
A24C,57,57,137
A24D,75,105,286
A24F,135,326,782
A26K,1,0,0
A26L,0,1,0
A27C,3,0,0
A31B,1,1,0
A31D,1,0,0
A31F,1,0,0
A31H,1,0,0
A31K,5,3,0
A31M,1,0,0
A35K,1,0,0
A36F,2,0,0
A37D,0,1,0
A41B,144,194,312
A41C,135,231,259
A41D,840,1135,2085
A41F,81,116,281
A41G,54,108,154
A41H,40,52,102
A41J,2,0,0
A41K,0,1,0
A41L,0,1,0
A42B,233,403,851
A42C,25,29,52
A42D,0,1,0
A42F,2,0,0
A43B,934,1401,3288
A43C,139,244,604
A43D,46,68,338
A43R,2,0,0
A44B,524,733,942
A44C,232,323,774
A44L,0,1,0
A45B,214,292,485
A45C,417,588,2292
A45D,461,1068,2084
A45F,270,526,1362
A45G,0,1,0
A45K,1,0,0
A46B,516,944,1897
A46D,26,69,151
A46H,1,0,0
A47B,1854,3206,5809
A47C,2023,2547,4549
A47D,277,406,762
A47F,913,1341,2356
A47G,1138,1627,2653
A47H,254,363,420
A47J,912,1574,3328
A47K,527,820,1628
A47L,1156,1811,3317
A48C,1,0,0
A48K,0,1,0
A51B,1,0,0
A51C,0,1,0
A51K,3,0,0
A51M,0,1,0
A52B,1,0,0
A55F,1,0,0
A60F,0,2,0
A60K,2,1,0
A61A,13,2,0
A61B,14277,27370,53312
A61C,1118,1928,3644
A61D,104,231,316
