subclass,2009,2010,2011,2012,2013,2014,2015,2016,2017
A00N,0,1,0,0,0,0,0,0,0
A01A,0,0,0,2,0,0,0,0,0
A01B,146,200,186,196,343,359,418,461,582
A01C,158,194,177,145,155,226,324,375,546
A01D,216,297,275,271,219,364,539,659,1050
A01F,42,44,39,58,36,82,150,153,180
A01G,184,278,224,288,292,376,647,707,718
A01H,1292,1406,1623,2267,2483,2793,1968,1935,2061
A01J,24,49,77,90,87,134,105,148,157
A01K,550,705,683,721,743,980,1244,1452,1651
A01L,17,7,1,7,7,16,10,12,11
A01M,63,125,91,110,137,226,323,388,445
A01N,1347,1986,2083,2703,3274,3261,2093,1442,1616
A01P,5,12,23,96,110,108,37,24,17
A01Q,0,0,1,0,0,0,0,0,0
A01V,1,0,0,0,0,0,0,0,0
A02H,0,1,0,0,0,0,0,0,0
A03B,0,0,0,0,1,0,0,0,0
A04D,1,0,1,0,0,0,0,0,0
A04F,0,0,0,2,0,0,0,0,0
A06B,1,0,1,0,0,0,0,0,0
A06F,0,0,6,0,1,0,0,0,0
A06K,1,1,3,0,1,0,0,0,0
A06Q,0,1,0,0,0,0,0,0,0
A07H,0,1,0,0,0,0,0,0,0
A07K,2,3,0,0,0,0,0,0,0
A10C,0,0,1,0,0,0,0,0,0
A10G,0,1,0,0,0,0,0,0,0
A10K,0,0,0,0,1,0,0,0,0
A10N,0,1,0,1,1,0,0,0,0
A11B,0,0,0,0,1,0,0,0,0
A11C,1,0,0,0,0,0,0,0,0
A11F,0,0,1,0,0,0,0,0,0
A11N,0,0,1,1,0,0,0,0,0
A12D,1,0,0,0,0,0,0,0,0
A12Q,0,0,0,1,0,0,0,0,0
A16B,0,1,0,4,1,0,0,0,0
A16G,0,0,1,0,0,0,0,0,0
A16J,0,0,0,0,1,0,0,0,0
A16K,7,7,8,0,2,0,0,0,0
A21B,38,65,67,69,73,94,98,92,97
A21C,12,31,37,33,33,81,103,117,90
A21D,32,47,60,64,74,82,129,121,135
A21G,0,0,0,1,0,0,0,0,0
A22B,22,20,19,21,24,35,51,49,57
A22C,93,91,91,74,99,177,198,181,218
A22L,1,0,0,0,0,0,0,0,0
A23B,27,41,47,53,66,88,110,129,117
A23C,45,68,57,104,88,121,151,124,142
A23D,32,65,51,64,84,118,156,97,77
A23F,11,31,38,34,60,65,68,111,106
A23G,34,70,70,94,99,162,212,182,190
A23I,0,0,1,0,0,0,0,0,0
A23J,41,62,54,45,71,80,91,86,71
A23K,34,51,48,71,71,152,199,169,381
A23L,183,282,298,414,452,704,964,931,1248
A23N,17,14,12,21,31,42,73,74,75
A23P,19,34,34,42,23,58,86,72,157
A24B,20,32,52,31,49,62,119,109,125
A24C,13,21,23,13,19,25,48,48,41
A24D,15,32,28,29,33,43,103,91,92
A24F,26,57,52,55,113,158,167,249,366
A26K,0,0,1,0,0,0,0,0,0
A26L,0,0,0,0,1,0,0,0,0
A27C,0,3,0,0,0,0,0,0,0
A31B,0,0,1,1,0,0,0,0,0
A31D,0,1,0,0,0,0,0,0,0
A31F,0,1,0,0,0,0,0,0,0
A31H,1,0,0,0,0,0,0,0,0
A31K,4,1,0,2,1,0,0,0,0
A31M,0,1,0,0,0,0,0,0,0
A35K,0,1,0,0,0,0,0,0,0
A36F,0,0,2,0,0,0,0,0,0
A37D,0,0,0,0,1,0,0,0,0
A41B,28,66,50,70,62,62,94,108,110
A41C,26,54,55,83,65,83,64,79,116
A41D,172,328,340,342,354,439,603,674,808
A41F,16,31,34,35,37,44,78,91,112
A41G,15,18,21,38,32,38,72,42,40
A41H,10,13,17,14,16,22,29,32,41
A41J,0,0,2,0,0,0,0,0,0
A41K,0,0,0,1,0,0,0,0,0
A41L,0,0,0,1,0,0,0,0,0
A42B,37,82,114,124,104,175,240,283,328
A42C,3,12,10,9,8,12,11,20,21
A42D,0,0,0,1,0,0,0,0,0
A42F,1,1,0,0,0,0,0,0,0
A43B,222,364,348,407,368,626,899,1066,1323
A43C,40,57,42,64,65,115,156,174,274
A43D,10,13,23,18,19,31,83,114,141
A43R,2,0,0,0,0,0,0,0,0
A44B,154,174,196,222,260,251,280,344,318
A44C,67,90,75,96,88,139,215,298,261
A44L,0,0,0,0,1,0,0,0,0
A45B,75,70,69,70,110,112,147,174,164
A45C,124,160,133,132,151,305,677,712,903
A45D,114,151,196,287,288,493,657,694,733
A45F,55,108,107,142,142,242,435,403,524
A45G,0,0,0,1,0,0,0,0,0
A45K,0,0,1,0,0,0,0,0,0
A46B,136,183,197,239,276,429,606,652,639
A46D,8,11,7,16,20,33,38,53,60
A46H,1,0,0,0,0,0,0,0,0
A47B,441,667,746,939,999,1268,1833,1867,2109
A47C,603,738,682,726,751,1070,1552,1479,1518
A47D,79,107,91,102,125,179,290,233,239
A47F,199,335,379,347,422,572,760,773,823
A47G,302,445,391,477,482,668,838,903,912
A47H,52,109,93,100,128,135,182,119,119
A47J,224,361,327,371,470,733,1000,1073,1255
A47K,121,186,220,265,229,326,435,558,635
A47L,317,436,403,420,583,808,1069,1115,1133
A48C,0,0,1,0,0,0,0,0,0
A48K,0,0,0,1,0,0,0,0,0
A51B,1,0,0,0,0,0,0,0,0
A51C,0,0,0,0,1,0,0,0,0
A51K,1,2,0,0,0,0,0,0,0
A51M,0,0,0,0,1,0,0,0,0
A52B,1,0,0,0,0,0,0,0,0
A55F,0,0,1,0,0,0,0,0,0
A60F,0,0,0,0,2,0,0,0,0
A60K,1,1,0,1,0,0,0,0,0
A61A,6,5,2,2,0,0,0,0,0
A61B,3203,5275,5799,7268,8424,11678,16764,16586,19962
A61C,237,431,450,510,593,825,1082,1058,1504
A61D,25,31,48,67,73,91,80,107,129
A61F,1604,2706,3118,3726,3968,4987,5306,5383,5556
A61G,216,224,198,262,266,437,755,753,806
A61H,183,237,263,333,352,470,728,810,1042
A61J,38,57,47,73,102,302,556,681,788
A61K,6975,9815,9630,11534,13700,16672,18415,18395,20912
A61L,250,407,460,552,621,1283,1959,1874,2068
A61M,1438,2616,2799,3294,3875,4977,6439,6295,6973
A61N,838,1264,1424,1662,2076,2631,3001,3072,3123
A61P,541,877,977,1371,1969,1830,1112,780,515
A61Q,199,311,273,392,542,1002,1527,1602,1766
A61U,0,1,0,0,0,0,0,0,0
A62B,189,262,336,467,569,490,571,397,429
A62C,126,233,137,162,228,400,485,544,556
A62D,40,65,87,83,74,100,77,84,105
A62G,0,0,0,0,1,0,0,0,0
A62H,0,0,0,1,0,0,0,0,0
A62K,1,2,1,0,0,0,0,0,0
A62L,0,0,1,0,0,0,0,0,0
A62M,0,0,0,0,2,0,0,0,0
A63A,1,0,3,0,1,0,0,0,0
A63B,1282,1765,1835,1519,1535,2385,3659,4118,4829
A63C,85,106,127,113,137,216,252,216,246
A63D,24,43,31,23,15,23,23,17,18
A63F,686,1256,1306,2203,2353,2552,2262,2433,2825
A63G,32,99,97,80,99,151,161,149,183
A63H,213,283,324,268,295,417,598,569,720
A63J,12,24,30,21,19,29,54,55,63
A63K,2,6,4,1,7,8,13,9,14
A63Q,0,0,1,0,0,0,0,0,0
A64B,0,0,1,0,0,0,0,0,0
A64D,0,1,0,0,0,0,0,0,0
A64F,0,0,0,2,0,0,0,0,0
A64K,0,0,2,0,0,0,0,0,0
A65B,0,2,1,0,0,0,0,0,0
A65D,2,2,1,0,0,0,0,0,0
A66B,0,0,1,0,0,0,0,0,0
A66F,0,1,1,0,0,0,0,0,0
A67K,1,0,0,0,0,0,0,0,0
A67M,0,0,1,0,0,0,0,0,0
A68B,0,0,0,1,0,0,0,0,0
A68K,1,0,0,0,0,0,0,0,0
A69B,1,1,0,0,0,0,0,0,0
A69N,0,0,1,0,0,0,0,0,0
A81B,0,1,0,1,0,0,0,0,0
A81K,1,2,0,1,0,0,0,0,0
A91K,1,1,0,0,1,0,0,0,0
A99Z,0,0,0,1,0,0,0,0,0
B00B,0,0,0,1,1,0,0,0,0
B00D,0,0,0,1,0,0,0,0,0
B00J,1,0,0,0,0,0,0,0,0
B00K,1,0,0,0,0,0,0,0,0
B01A,0,2,0,0,0,0,0,0,0
B01B,1,3,2,3,8,12,10,10,11
B01C,0,0,1,0,0,0,0,0,0
B01D,2092,2712,2974,3405,3865,4282,4924,5031,5806
B01F,350,405,435,563,491,850,1428,1521,1736
B01J,1414,2041,1815,2042,2083,2741,4151,4299,4398
B01L,221,360,280,297,351,717,1343,1304,1455
B01M,1,0,0,0,0,0,0,0,0
B01N,0,2,2,0,0,0,0,0,0
B02B,26,30,29,19,14,11,21,16,18
B02C,307,377,417,336,380,455,469,470,415
B03B,24,23,28,33,37,64,81,85,95
B03C,86,104,102,99,141,187,225,231,209
B03D,14,13,18,33,42,53,57,67,79
B04B,58,76,98,99,91,116,205,214,185
B04C,5,7,7,10,12,42,93,92,111
B04D,0,0,0,1,0,0,0,0,0
B04N,1,0,0,0,0,0,0,0,0
B05B,441,697,599,585,735,1225,1784,1958,2169
B05C,273,339,309,411,476,651,708,757,846
B05D,944,1378,1340,1670,1636,1835,1617,1473,1796
B06B,18,36,30,33,40,112,219,277,279
B06D,0,2,1,1,0,0,0,0,0
B06F,0,4,0,0,0,0,0,0,0
B06G,0,0,1,0,0,0,0,0,0
B06H,1,0,0,0,0,0,0,0,0
B06K,0,1,0,0,0,0,0,0,0
B06L,0,0,2,2,1,0,0,0,0
B06Q,0,0,1,1,0,0,0,0,0
B06R,1,0,0,0,0,0,0,0,0
B06T,1,0,0,1,1,0,0,0,0
B07B,70,80,86,93,81,153,217,187,254
B07C,74,89,96,79,95,138,198,189,198
B07F,1,0,0,1,0,0,0,0,0
B08B,427,587,681,734,814,915,1026,999,1198
B08C,1,0,0,0,0,0,0,0,0
B08F,1,0,0,2,0,0,0,0,0
B08J,0,1,0,0,0,0,0,0,0
B08L,0,0,0,1,0,0,0,0,0
B09B,30,40,27,33,39,53,106,99,107
B09C,10,23,14,17,21,38,68,47,83
B09D,0,0,0,1,0,0,0,0,0
B10D,0,0,0,0,3,0,0,0,0
B10L,1,0,0,0,0,0,0,0,0
B10T,0,0,1,0,0,0,0,0,0
B11B,1,0,0,1,0,0,0,0,0
B11J,0,0,0,0,1,0,0,0,0
B13B,1,0,0,0,0,0,0,0,0
B14B,0,0,0,1,0,0,0,0,0
B14J,0,0,0,2,0,0,0,0,0
B14M,0,0,2,0,2,0,0,0,0
B16B,0,0,0,0,1,0,0,0,0
B16K,0,1,0,0,0,0,0,0,0
B21B,79,91,112,171,168,164,298,313,371
B21C,51,76,80,95,88,105,193,198,223
B21D,500,557,632,773,799,892,1107,1052,1182
B21F,49,57,75,69,79,82,86,101,121
B21G,1,4,3,2,3,4,3,6,7
B21H,11,2,5,11,12,30,27,27,44
B21J,64,75,87,77,75,113,187,188,235
B21K,88,108,103,120,151,178,178,143,148
B21L,14,6,2,8,6,9,13,9,3
B21P,0,0,0,1,1,0,0,0,0
B22B,2,2,4,0,4,0,0,0,0
B22C,46,89,104,86,86,128,161,182,215
B22D,160,217,253,314,246,325,508,535,742
B22F,182,232,190,190,198,330,515,623,763
B22K,0,0,0,1,0,0,0,0,0
B23B,329,344,406,411,439,596,654,676,800
B23C,110,96,105,99,149,193,215,239,286
B23D,79,99,114,136,121,201,343,336,439
B23F,9,8,8,17,19,44,119,113,89
B23G,3,3,6,9,13,19,41,38,44
B23H,66,67,61,84,81,95,148,151,158
B23K,536,919,814,970,1112,1415,2099,2119,3185
